Balance,879,772,,,,,,,,GEARBOX,,,,,,,,MOTOR,,,,,,,,,BRAKE,,,,,,REMARK
,,,,,,,,,,Version,,,Input Configguration,,,,,,,,,,,,,,,,,,,,
No.,Code,Full designation,Nick designation,Quantity,General name,Type,Size,Manufactory,Origin,Type,Shaft,Flange,Type,Shaft,Flange,Mouting Position,Option,Code,Type,Power,Pole,Voltage - Frequency,Degree of Protection,Insulation Class,Mouting,Terminal Box Position,Brake Type,Brake Torque,Brake Hand Release,Rectifier Type,Brake Supply,Option,
68,MEA702280023,,C 22 2 F 29.6 S2 V1 DL M 2SA 4 IP56,1,Gearmotor,Inline-gear unit,C 22,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
69,MEA70121001C,,C 22 2 P 20.0 S2 B3 M 2SA 4 W20,10,Gearmotor,Inline-gear unit,C 22,BVN,Vi?t Nam,,,,,,,,,830F2210M,,,,,,,,,,,,,,,
70,200650301,,VF 49 F1 60 P71 B5 B3,11,Gearbox,Worm gearbox,VF 49,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
71,200680182,,VF 49 P1 24 P63 B5 B3,1,Gearbox,Worm gearbox,VF 49,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
72,200680061,,VF 49 P1 10 P71 B5 B3,6,Gearbox,Worm gearbox,VF 49,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
73,200450129,,VF 44 F1 20 P63 B14 B3,1,Gearbox,Worm gearbox,VF 44,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
74,200270061,,VF 27 F2 10 P27 B3,0,Gearbox,Worm gearbox,VF 27,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
75,830321000,,BN 27C 4 IP55 CLF,0,Motor,Electric,BN 27,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
76,200680152,,VF 49 P1 18 P63 B5 B3,1,Gearbox,Worm gearbox,VF 49,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
77,MEA40131002K,,C 36 3 P 22.1 S3 B3 M 3LA 4 ,3,Gearmotor,Inline-gear unit,C 36,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
78,2T301L2038003D,,3 01 L2 38.4 HC P80 T LM,1,Gearbox,Planetary gearbox,3 01,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
79,2T304L30630021,,3 04 L3 63.1 HC P80 T LM,1,Gearbox,Planetary gearbox,3 04,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
80,2EA802280010,,C 12 2 F 25.4 P71 V1 DL ,10,Gearbox,Inline gearbox,C 12,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
81,2EA80228000Z,,C 12 2 F 20.6 P71 V1 DL,10,Gearbox,Inline gearbox,C 12,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
82,2EA802280011,,C 12 2 F 29.5 P71 V1 DL,10,Gearbox,Inline gearbox,C 12,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
83,2EA70228000O,,C 22 2 F 43.3 P71 V1 DL ,5,Gearbox,Inline gearbox,C 22,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
84,2EA80228000Y,,C 12 2 F 15.4 P71 V1 DL,8,Gearbox,Inline gearbox,C 12,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
85,ME1501510010,,C 41 2 P 28.3 S3 B3 M 3LA 4,2,Gearmotor,Inline-gear unit,C 41,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
86,MEA101310013,,C 32 2 P 20.1 S3 B3 M 3SA 4,2,Gearmotor,Inline-gear unit,C 32,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
87,ME150151002X,,C 41 2 P 28.3 S3 B3 M 3LA 4 RAL7042 C3,5,Gearmotor,Inline-gear unit,C 41,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
88,2EA102380012,,C 32 2 F 52.4 P80 V1 DL,10,Gearbox,Inline gearbox,C 32,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
89,2G20011241,,W 63 U 19 P80 B5 B3,8,Gearbox,Worm gearbox,W 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
90,2G20021241,,W 63 UF1 19 P80 B5 B3,4,Gearbox,Worm gearbox,W 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
91,2G200112G1,,W 63 U 19 P71 B14 B3,1,Gearbox,Worm gearbox,W 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
92,2EA80242000J,,C 12 2 F 6.2 P90 B5 ,0,Gearbox,Inline gearbox,C 12,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
93,2G20010941,,W 63 U 15 P80 B5 B3,0,Gearbox,Worm gearbox,W 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
94,2G24011251,,W 75 U D30 20 P90 B5 B3,2,Gearbox,Worm gearbox,W 75,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
95,ME52A0030032,,A 10 2 UR 5.5 S3 B3 M 3SA 4,4,Gearmotor,Bevel-gear unit,A 10,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
96,200380069,,VF 30 P1 10 P63 B14 B3,0,Gearbox,Worm gearbox,VF 30,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
97,8D31020322,,BN 80B 4 B5 IP56,21,Motor,Electric,BN 80,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
98,831120676,,BN 90LA 4 B5 IP56,32,Motor,Electric,BN 90,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
99,8D520206B9,,BN 100LB 4 B5 IP56,0,Motor,Electric,BN 100,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
100,200350061,,VF 30 F1 10 P63 B5 B3,0,Gearbox,Worm gearbox,VF 30,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
101,200680211,,VF 49 P1 28 P71 B5 B3,0,Gearbox,Worm gearbox,VF 49,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
102,MEA301310003,,C 36 2 P 19.0 S3 B3 M 3LA 4,1,Gearmotor,Inline-gear unit,C 36,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
103,1G32010901,,W 110 U 15 HS B3,1,Gearbox,Worm gearbox,W 110,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
104,831420106,,BN 100LB 4 B5 IP55,0,Motor,Electric,BN 100,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
105,MEA701310051,,C 22 2 P 9.6 S3 B3 M 3LA 4,7,Gearmotor,Inline-gear unit,C 22,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
106,200680151,,VF 49 P1 18 P71 B5 B3,6,Gearbox,Worm gearbox,VF 49,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
107,200620241,,VF 49 A 36 P71 B5 B3,1,Gearbox,Worm gearbox,VF 49,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
108,200480331,,VF 44 P1 100 P63 B5 B3,8,Gearbox,Worm gearbox,VF 44,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
109,2004502110029,,VF 44 F1 46 P63 B5 B3 VV,2,Gearbox,Worm gearbox,VF 44,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
110,200480241,,VF 44 P1 60 P63 B5 B3,4,Gearbox,Worm gearbox,VF 44,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
111,200480153,,VF 44 P1 28 P71 B5 B3,2,Gearbox,Worm gearbox,VF 44,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
112,MEA70248000C,,C 22 2 F 9.6 P90 V1 DL BN 90S 4,7,Gearmotor,Inline-gear unit,C 22,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
113,MEA10248000J,,C 32 2 F 12.3 P90 V1 DL BN 90LA 4,5,Gearmotor,Inline-gear unit,C 32,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
114,2G20012131,,W 63 U 38 P71 B5 B3,3,Gearbox,Worm gearbox,W 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
115,2G24012441,,W 75 U D30 50 P80 B5 B3,7,Gearbox,Worm gearbox,W 75,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
116,2G20012431,,W 63 U 45 P71 B5 B3,3,Gearbox,Worm gearbox,W 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
117,ME150551001F,,C 41 2 UFA 28.3 S3 V1 DL M 3SA 4,0,Gearmotor,Inline-gear unit,C 41,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
118,MEA102380022,,C 32 2 F 45.3 P80 V1 DL BN 80A 4,2,Gearmotor,Inline-gear unit,C 32,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
119,830820106,,BN 80A 4 B5 IP55,6,Motor,Electric,BN 80,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
120,200680241,,VF 49 P1 36 P71 B5 B3,3,Gearbox,Worm gearbox,VF 49,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
121,200480063,,VF 44 P1 10 P71 B5 B3,10,Gearbox,Worm gearbox,VF 44,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
122,200450063,,VF 44 F1 10 P71 B5 B3,4,Gearbox,Worm gearbox,VF 44,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
123,200480091,,VF 44 P1 14 P63 B5 B3,5,Gearbox,Worm gearbox,VF 44,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
124,2T301L4A22002,,3 01 L4 1022 HC P71 T,4,Gearbox,Planetary gearbox,3 01,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
125,MEA40121001D,,C 36 3 P 38.1 S2 B3 M 2SB 4,7,Gearmotor,Inline-gear unit,C 36,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
126,830520106,,BN 63B 4 B5 IP55,1,Motor,Electric,BN 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
127,8D10020055,,BN 63B 4 B5 IP56,2,Motor,Electric,BN 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
128,830520156,,BN 63B 4 B14 IP55,0,Motor,Electric,BN 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
129,8D09030033,,BN 63A 6 B5 IP56,1,Motor,Electric,BN 63,BVN,Vi?t Nam,,,,,,,,,,,,,,,,,,,,,,,,
